"Item","Name","Category","Cat_Num","OG_Low","OG_High","Alc_Low","Alc_High","IBU_Low","IBU_High","Lov_Low","Lov_High","Comm_Examples","Descr"
1,"American Brown Ale","Brown Ale","10D",1.04,1.06,4,6,25,60,15,22,"Pete's Wicked Ale, Brooklyn Brown Ale, Hart's Pacific Crest Ale, Smuttynose Old Brown Dog, Il Vicino Tenderfoot Brown, Shipyard Moose Brown.","An adaptation by American homebrewers desiring higher alcohol and hop bittering levels to go along with the malty richness characteristic of all brown ales. A drier and more bitter style of English brown ale. Medium maltiness is present in a medium body. Hops are American varieties and can be assertive in bitterness, flavor and aroma (medium to high). Dark amber to dark brown. Low diacetyl is OK. "
2,"Classic American Pilsner","American Lager","1C",1.044,1.06,4.5,6,25,40,3,6,"None.","A style of American lager that died out during Prohibition. Made from American 6-row barley and 20% flaked maize to dilute the excessive protein levels, giving it a slight sweetness that is offset by good hop levels.  Medium to high malt and hop flavor and aroma. As with other American lagers, no fruitiness or diacetyl should be apparent. Color is light to deep gold.  "
3,"American Dark Lager","American Lager","1B",1.04,1.05,4.1,5.1,14,20,10,20,"MICHELOB DARK, LOWENBRAU DARK","Colored versions of American standard or premium with little or no dark malts used. Color can be artificially derived from the addition of caramel syrup. Deep copper to dark brown. Light to medium body. Low bitterness. Low malt aroma and/or flavor is OK. Low hop aroma and/or flavor is OK. Effervescent. No fruitiness or esters. Very low diacetyl is OK. "
4,"American Pale Ale","American Pale Ale","6A",1.045,1.056,4.5,5.7,20,40,4,11,"Sierra Nevada Pale Ale, Summit Pale Ale, Great Lakes Burning River Pale Ale.","In comparison to its English counterpart, it is slightly less malty, in the range of low to medium. It is fruity and estery with some crystal malt providing a bit of residual sweetness. A distinction of the American version is the high hopping of American varieties. Dry hopping is appropriate. Stock ale is generally in the pale ale style, and is a slightly stronger version meant for longer storage. Pale to deep amber/red/copper. Low diacetyl is OK."
5,"American Wheat","Light Ale","3B",1.035,1.055,3.7,5.5,10,30,2,8,"Otter Creek Summer Wheat, Anchor Wheat, Boulevard Wheat, Pyramid Hefe-Weizen.","A standard ale yeast is used. Typically have light, crisp grain flavors and aromas characteristic of wheat. The clovey aromas and flavors of Bavarian Weizenbiers are absent (and inappropriate). Low to medium fruitiness and esters. Hop bitterness can be from medium to none. Hop aroma and flavor can be high or low. The proportion of wheat is often greater than 50%. Light to medium body, pale straw to gold although light amber versions exist. Low diacetyl is OK. The use of lager yeast is OK. No phenolic character."
6,"Classic Rauchbier","Smoke Beers","23A",1.05,1.064,4.8,6.5,20,30,7,16,"Schlenkerla Rauchbier, Kaiserdom Rauchbier.","Aroma: Smoky aroma may range from faint to assertive.  Some malt should be evident in the low- to moderately-smoked examples.  Note that the smoke character can vary even among beechwood-smoked malts.  Hop aroma should be negligible to very low.  This beer is a lager;  there should be no diacetyl or fruity aromas.  The malt character from the underlying Maerzen/Oktoberfest style should be evident.Appearance: This should be a very clear beer, with a rich creamy head.  The color should be amber, copper to dark brown.Flavor: Sweetish, maltiness from the underlying Maerzen/Oktoberfest style of beer with smoke flavors ranging from low to high, but balanced with the malt and hop bitterness.  The smoke flavor from beechwood kilning tends to be somewhat drier and neutral in character, although it can vary among maltsters, blending well with the sweetness of the malt.  This beer will exhibit low to medium hop bitterness, low to no hop flavor, and the clean characteristics of a lager with no fruitiness or diacetyl.  Mouthfeel: Medium body with a good, medium level of carbonation.  Smooth finish due to lagering.Overall Impression: Maerzen/Oktoberfest-style (see Oktoberfest) beer with a sweet, smoky aroma and flavor.History: In the tradition of the Franconian region of Germany, a Maerzen/Oktoberfest style of beer made with malts kilned over moist beechwood log embers, imparting a smoky flavor and aroma to the beer.  This beer is indigenous to Bamberg, Germany.Comments: Examples of other smoked beer styles are available in Germany, such as the Bocks, Helles and Vienna-like beers such as Spezial Lager. Brewers entering these styles should use Other Smoked Beers as the entry category.Ingredients: Because of the unique flavored rendered to malts by various smoking materials, beechwood-kilned, not malts smoked with peat, hickory or other woods, should make up 5-50% of the malt bill. German or Czech hops."
7,"English-style Barleywine","Barleywine & Imperial Stout","12A",1.08,1.12,8.5,12,50,100,10,22,"Anchor Old Foghorn, Young's Old Nick, Fuller's Golden Pride.","Aroma: Moderate to intense fruitiness; presence of hops (English varieties) may range from mild to assertive. A caramel-like aroma is often present.Appearance: Color may range from rich gold to very dark amber or even brown. Often has ruby highlights. May have low head retention.Flavor: Fruity, with a great intensity of malt. Hop bitterness may range from just enough for balance to a firm presence; balance therefore ranges from malty to bitter. Some oxidative flavors may be present, and alcohol should be evident.Mouthfeel: Full-bodied, with a slick, viscous texture.  Gentle smooth warmth from alcohol should be present.Overall Impression: The richest and strongest of the English Ales.History/Comments: Usually the strongest ale offered by a brewery, and often vintage-dated. Normally aged significantly prior to release. Often associated with the winter or holiday season.  Although a hoppy beer, the English Barleywine places less emphasis on hop character than the American Barleywine and features English hops.Ingredients: Well-modified pale malt should form the backbone of the grist, with judicious amounts of caramel malts. Dark malts should be used with great restraint, if at all, as most of the color arises from a lengthy boil.  English hops such as Northdown, Target, East Kent Goldings and Fuggles."
8,"Bavarian Weizen/Weissbier","Wheat Beer","17A",1.04,1.056,4.3,5.6,10,20,2,9,"Paulaner Krystal Paulaner Hefe-Weizen, Pschorr-Brau Weisse, Spaten Club-Weisse, Schneider Weisse, Julius Echter Weizenbier.","Wheat beer of southern Germany. Light to medium bodied, lightly hopped, yeasty, highly effervescent, and suggestive of cloves and bananas. It is, above all, a summer beer. At least 50% wheat malt. Some cloudiness is acceptable in this style since a mash of wheat can add haze from protein. Fermented as an ale by unique yeast strains. Clove and slight banana character is required. Vanilla, nutmeg, smoke and cinnamon-like phenolics are permissible. A slight bubble-gum flavor may show up in fresh examples, but this flavor diminishes quickly with time. Fruity/estery character can be low to medium. Mild sourness is OK. Bitterness is low to unnoticeable. Very low hop flavor and aroma is OK. No diacetyl. Light straw to amber. "
9,"Belgian Pale Ale","Belgian & French Ale","19A",1.04,1.055,3.9,5.6,20,35,3,14,"Celis Pale Bock, De Koninck, Special Palm Ale, Ginder Ale.","The pale ales of Belgium span a broad spectrum of characteristics. They share the general characteristics of the English pale ales, however, they are more aromatic and spicy in both malt and yeast character. These beers may be called sp?cials belges, or just belges, in the French-speaking regions of Belgium. They are golden to copper in color. These ales may include candy sugar or other aromatics. They are light to medium in body, with low to medium malt aroma, and usually have low carbonation. Fruity, spicy and soft. Slight acidity OK. No diacetyl. Low caramel or toasted malt flavor OK. Hop character is usually medium though the range can reach high bitterness. "
10,"Fruit Lambic-style Ale","Lambic & Belgian Sour Ale","20C",1.044,1.056,4.7,5.8,10,15,4,15,"Cantillon Rose de Gambrinus, Cantillon Kriek,  Cantillon Gueuze Vigneronne, Drie Fontainen Kriek, Hanssens Kriek; Boon Kriek Mariage Parfait, Framboise Marriage Parfait.","Belgium, spontaneously fermented with yeasts and bacteria. Unmalted wheat (30 to 40%) and aged hops are used.  Fruit lambics are fruit-flavored - cherries (kriek), raspberries (framboise), and peaches (peche) - before bottling. A style called Faro is sweetened with candy sugar. Brewer should specify the substyle of lambic.  Ingredients: A blend of older and younger straight lambics is used as a base.  Fruits commonly used for flavoring are cherries (Kriek) and raspberries (Framboise), although more recent commercial examples include peaches (Peche), grapes (Vigneronne or Muscat) and black currants (Cassis). "
11,"Gueuze-style Ale","Lambic & Belgian Sour Ale","20B",1.044,1.056,4.7,5.8,10,15,4,15,"Boon, Cantillon, Hanssens, Lindeman's, Boon Mariage Parfait, Girardin, Vandervelden Oud Beersel, DeKeersmaeker.","Uniquely sour ales from the Senne Valley of Belgium, spontaneously fermented with yeasts and bacteria. Unmalted wheat (30 to 40%) and aged hops are used.  Gueuze is a blend of aged and new lambic, and tends to have a smoother palate. "
12,"Berliner Weisse","Wheat Beer","17C",1.026,1.036,2.8,3.6,3,8,2,4,"Schultheiss Berliner Weisse, Berliner Kindl Weisse.","This tart, refreshing, thirst-quenching beer can legally only be brewed in Berlin, Germany, although a few brewers in Northern Germany brew wheat beers in a similar style. Often called the Champagne of beers. Anywhere up to 75% malted wheat is used and results in a characteristic foamy large white head. The ale-type yeast and lactic combination produces a light body which is dry, tart, and has a sharp lactic sourness. The sourness can be very intense. Very pale yellow color, effervescent, modest alcohol content, no bitterness, no hop flavor or aroma and low fruity ester notes. No diacetyl. May be mixed with sweet syrups. "
13,"Best (Special) Bitter","Bitter & English Pale Ale","4B",1.039,1.045,3.7,4.8,20,45,6,14,"Young's Ramrod, Fuller's London Pride, Adnam's Suffolk Extra, Timothy Taylor Landlord, Shepherd Neame Masterbrew Bitter, Goose Island Honkers Ale, Spanish Peaks Black Dog Ale, Nor'Wester Best Bitter.","A full-bodied, robust copper colored beer with a maltier, more complex flavor than either the ordinary or special bitter. Maltiness should be evident with medium to high hop bitterness, flavor and aroma. "
14,"Biere de Garde","Belgian & French Ale","19C",1.06,1.08,4.5,8,20,35,5,18,"Jenlain, Castelain, Trois Mont, Septante Cinq, Brasseurs Biere de Garde.","The name means ""beer to keep,"" implying that it was laid down as a provision to be drawn upon during the summer. The style belongs to northern France. Typically made with several malts, this is a strong, top-fermenting, laying-down beer, quite commonly corked not capped. Bi?re de Garde is full gold to a dark reddish-brown. They have a medium to high malt flavor accent and a light to medium ale-like fruitiness, often with spicy notes, and are medium to strong in alcohol. Often they have a mild phenolic/clovey character and many are slightly sweet. Light to medium body, medium hop bitterness and light to medium hop flavor and aroma. It has a malty and fruity aroma. Lager yeast fermenting at higher temperatures is being employed in some examples today. Earthy, cellarlike, musty aromas OK. Light diacetyl is OK."
15,"Blonde Ale","Light Ale","3A",1.045,1.06,4,6,15,33,2,8,"Catamount Gold, Goose Island Blonde, Bridgeport Pintail Ale.","A type of ale currently being brewed by microbreweries and brewpubs, generally all-malt with a soft, lightly malty palate, some fruitiness, and a pleasant hop bouquet. The flavor is usually balanced with a light to medium bitterness, though the accent is tilted towards malt. Some versions are very restrained with hops, making the beer sweet in character. Pale straw to deep gold in color.  "
16,"Bohemian Pilsener","European Pale Lager","2A",1.044,1.056,4,5.3,35,45,3,5,"Pilsner Urquell, Gambrinus Pilsner, Budweiser Budvar, Staropramen.","This beer originated in Plzen, Czechoslovakia in 1842, and quickly gained popularity in other brewing countries. Light to medium bodied and medium attenuation which leaves behind some malt body and sweetness. This beer benefits from extremely soft water. Creamy dense head and well-carbonated. Low to medium accent of rich, sweet malt in aroma and flavor. The hop bitterness is medium to high. The hop flavor and aroma from the Saaz hop is very noticeable at a level of medium to high. One key factor in Bohemian Pilsners is that the bitterness, although high, does not linger in the finish and ends rather abruptly, thanks to the very soft water. Clean, crisp, hop-spicy bitter with malty overtones. Esters and fruitiness are not appropriate in Pilsners, but, in some of the classic renditions, such as Pilsner Urquell, low diacetyl adds a complexity. The color should be light gold to medium gold. "
17,"Strong Bitter / English Pale Ale","Bitter & English Pale Ale","4C",1.046,1.065,4.4,6.2,30,65,6,14,"Fullers ESB, Bateman's  XXXB, Young's Strong Export Bitter (sold in the US as Young's Special London Ale), Ushers 1824 Particular Ale, Oasis ESB, Big Time ESB, Shepherd Neame Bishop's Finger, Fullers 1845, bottled Bass Ale, Whitbread, Royal Oak, Shepherd","A full-bodied, robust copper colored beer with a maltier, more complex flavor than either the ordinary or special bitter. Maltiness should be evident with medium to high hop bitterness, flavor and aroma. "
18,"Brown Porter","Porter","15B",1.04,1.05,3.8,5.2,20,30,20,35,"Samuel Smith Taddy Porter, Bateman Salem Porter, Shepherd Neame Original Porter, Yuengling Porter, Fuller's London Porter.","A bit lighter than the robust, with light to medium body and generally lower in alcohol. The malt sweetness is low to medium and well-balanced with the medium hop bitterness. No strong roast barley or burnt malt character. Color is medium to dark brown with reddish tones. None to medium hop aroma and flavor. Fruitiness, esters and low diacetyl are OK. Some versions are made with lager yeast. "
19,"California Common Beer","American Pale Ale","6C",1.04,1.055,4,5.5,35,45,8,14,"ANCHOR STEAM BEER","This style is fermented with lager yeast at ale temperatures then aged cold. It is fermented in wide, shallow fermenters. This increases surface area and promotes cooling. It also influences yeast behavior. It is made from pale and crystal malt and usually hopped with Northern Brewer. It has the roundness and cleanness of a lager, with some of the complexity of an ale. A very light phenolic character that has been described as ""thick, muddy"" and ""milk-like"" may be detectable but should be light at most. May have a slight residual sweetness but finish very dry. The style has a medium body and a hint of toasted or caramel-like maltiness in aroma and flavor. The color is light amber to brown. Hops are medium to high in bitterness and flavor, and low to medium in aroma. Fruitiness and esters are low. Low diacetyl is OK. "
20,"Other Smoked Beer","Smoke Beers","23B",1,1.11,2.5,12.1,5,70,5,80,"",""
21,"Cream Ale","Light Ale","3C",1.044,1.055,4.4,5.7,10,22,2,4,"GENNESEE CREAM ALE, LITTLE KINGS CREAM ALE","An adaptation of the American light lager style, chiefly involving fermentation of the beer as an ale followed by a period of cold conditioning. Grain adjuncts such as corn or rice can be used and the beer is light-bodied. Pale straw to pale gold color. Low hop bittering and some hop aroma. Usually well carbonated. "
22,"Doppelbock","Bock","14C",1.073,1.12,7.5,12,20,40,12,30,"Paulaner's Salvator, Ayinger Celebrator, Spaten Optimator, Tucher Bajuvator, Augustiner Maximator, Kulminator EKU 28, Samichlaus, Löwenbräu Triumphator, Hacker Pschorr Animator, Old Dominion Dominator","Stronger version of Bock which must have a gravity of at least 18 Plato (1.072). Any beer with a starting gravity of over 18 Plato must, by German law, be called a Doppelbock regardless of any character the beer may have. Doppelbock was invented in Munich by the brothers of Saint Francis of Paula. They named their strong beer Salvator. By tradition, and in deference to Salvator, Doppelbock names end in ""ator"". They are very full bodied. Can be dark gold to very dark brown, very sweet or balanced with bitterness. The malty sweetness that is evident in aroma and flavor can be intense. High alcohol flavor. Some esters and fruitiness may be detectable, but are not very desirable. Low hop flavor from ""noble-types"" is OK. No hop aroma. There should not be any diacetyl. "
23,"Dortmunder Export","European Pale Lager","2C",1.048,1.06,4.8,6,23,30,4,6,"DAB EXPORT, DORTMUNDER UNION EXPORT","A well-balanced style indigenous to the Dortmund industrial region, Export has been on the decline in Germany in recent years.  Brewed to a slightly higher starting gravity than other light lagers, providing a firm malty body and underlying maltiness to complement the sulfate-accentuated hop bitterness."
24,"Dry Stout","Stout","16A",1.035,1.05,3.2,5.5,30,50,35,99,"Guinness, Sierra Nevada, Sheaf Stout, Murphy's Irish Stout, Beamish Stout, Old No 38, Black Hawk Stout, Rainbow Trout Stout","A very dark, roasty, bitter, creamy ale. The style evolved from attempts to capitalize on the success of London porters, but originally reflected a fuller, creamier, more ""stout"" body.  Modern versions are brewed from a lower OG and no longer reflect a fuller body than porters.Comments: This is the draught version of what is otherwise known as Irish stout.  Bottled versions are typically brewed from a significantly higher OG and may be considered foreign extra stouts. "
25,"Dubbel","Strong Belgian Ale","18A",1.04,1.08,3.2,7.8,20,35,10,20,"Grimbergen Dubbel, Affligem Dubbel, Rochefort 8, Chimay Cinq Cents (Capsule Blanche), Chimay Grande RTserve (Capsule Bleue), La Trappe Dubbel, Westmalle Dubbel, Westvleteren 6 Special","Dark amber to full brown ales with a sweet malty flavor and a slightly nutty aroma that may give way to some hoppy dryness in the finish. They are very fruity/plummy in the nose and chocolate malt aroma is OK. Medium- to full-bodied. Low bitterness. Very low diacetyl is OK. Aromas and flavors are sometimes derived from unique yeast strains. Low to medium fruity-esters (especially banana) are OK. Small amounts of spices may be added. "
26,"Dunkelweizen","Wheat Beer","17B",1.04,1.056,4.3,5.6,10,20,20,23,"Hecker-Pschorr Dark Wheat, Oberdorfer Dunkelweizen, Erdinger Dunkel Weizen, Tucher Dunkles Hefe Weizen","Dark version of Weizenbier which can be a bit stronger. The color is deep copper to full brown. Slight chocolate-like or toasted maltiness may be evident but should be very subdued at most. Medium bodied beer with an emphasis of dark malt. It usually has a little less of the characteristic clove-banana aromas. The combination of wheaty tartness and the lusciousness of dark malts makes this style full of flavor and complexity. Low diacetyl is OK. Low hop flavor and aroma is OK. The classic examples are unfiltered.  "
27,"Duesseldorf Altbier","Koelsch & Altbier","8B",1.04,1.055,5,5.5,40,60,11,19,"ZUM UERIGE, ZUM SCHLUSSEL, IM FUCHSCHEN","A copper to dark brown German ale, superficially similar to a British pale ale. Distinctiveness derived from the use of German malts, hops, and yeasts and a period of cold conditioning, yielding a cleaner palate, less fruitiness, less yeastiness, and less acidity than a classic British ale.The classic brewpub versions of altbier are coppery brown, very clear, squeaky clean, and are assertively bitter in the flavor with very little aroma in the nose, hop or otherwise. They also tend to have a grainy, even harsh or astringent malt flavor.  "
28,"Eisbock","Bock","14D",1.064,1.12,8.6,14.4,25,50,18,50,"Kulmbacher Reichelbräu Eisbock Bayrisch G'frorns","The strongest type of Bock. Very alcoholic. A Doppelbock is chilled till ice is formed. The ice is removed, leaving behind a beer with a higher concentration of alcohol. The beer is very full bodied with increased sweetness and warmth. Color is amber to black. The detectable bitterness is low. "
29,"Export 80","Scottish Ale","5C",1.04,1.05,3.9,4.9,15,36,10,19,"","Similar to English Best Bitter, but reflecting the Scottish desire for maltier, fuller-bodied, less bitter ales. A faint smoky character from the use of small amounts of peat-smoked malt is sometimes present. The beers are often less fully fermented than by brewers elsewhere and the alcohol content can be low in relation to gravity.  "
30,"Oud Bruin","Lambic & Belgian Sour Ale","20D",1.042,1.06,4,5.8,14,25,10,20,"Liefmans Oud Bruin, Felix, Cnudde, Dobbelen Bruinen, Oudenaards, Ichtegems Bruin, Bruynen","Blend of slight vinegarlike or lactic sourness, spicy, dry, richness of brown malts and fruitiness of ale. Sweet-and-sour character with the sweetness coming from the addition of sugar to sweeten the beer prior to pasteurization. Very complex caramel/nutty/slight chocolate malt character, with flavors sometimes reminiscent of olives, raisins and spices. Complex combinations of malts; water high in sodium bicarbonate; long boiling times, creating a hint of caramelization. Multistrain yeast pitching, sometimes with a lactic character; and the blending of ""young"" and ""old"" beers, make for a truly teasing style. No diacetyl. There is no hop aroma and low to medium bitterness. Low roasted malt character is OK. Deep copper to brown. "
31,"Foreign Stout","Stout","16D",1.05,1.075,5,7.5,35,70,35,99,"Guinness Extra Stout, Dragon Stout, ABC Stout, Lion Stout","This is a stronger version of Dry Stout with the additional malt offset by hopping up to 60 IBU for balance. Usually brewed for 'tropical' markets. Some could be described as strong dry stouts, but others are too sweet for that designation. Around 1.060, it becomes difficult to produce a true dry stout, as the malty fullness and the fruity esters take charge. It is black to opaque and medium to full bodied. There should be no hop flavor or aroma but a slight acidity/sourness flavor is OK. Slight malt sweetness or caramel malt character and very low to medium diacetyl is OK. Low fruity-esters are OK. "
32,"Fruit Beer","Fruit Beer","21",1,1.12,0,12,0,80,0,80,"Oxford Raspberry Wheat, Oregon Blackberry Porter, Pyramid Apricot Ale, Rogue 'n' Berry, Brimstone Blueberry Wheat, Oaken Barrel Raspberry Wheat.","Aroma: The character of the particular fruit(s) should be distinctive in the aroma.  Overall the aroma should be a balanced combination of malt, hops and the featured fruit(s) as appropriate to the specific type of beer being presented. If the base beer is an ale then general fruitiness and other fermentation byproducts such as diacetyl may be present as appropriate for the warmer fermentation.  If the base beer is a lager, then overall less fermentation byproducts would be appropriate. Some malt aroma preferable, especially in dark styles; hop aroma absent or balanced with fruit, depending on the style.  The overall aroma should be balanced and harmonious.Appearance: Appearance should be appropriate to the base beer being presented and will vary depending on the base beer.  For lighter beers with fruits that exhibit distinctive colors, the color should be noticeable.Flavor: The character of the particular fruit(s) should be distinctive in the flavor profile.  Hop bitterness, flavor, malt flavors, alcohol content and fermentation byproducts, such as diacetyl, should be appropriate to the base beer  and harmonious and balanced with the distinctive fruit flavors present.  Mouthfeel: Mouthfeel may vary depending on the base beer selected and as appropriate to that base beer.  Body and carbonation levels should be appropriate to the base beer style being presented.Overall Impression: A harmonious marriage of fruit and beer.Comments: Overall balance is the key to presenting a well-made fruit beer.  The fruit should complement the original style and not overwhelm it. The brewer should recognize that some combinations of base beer styles and fruits work well together while others do not make for harmonious combinations.  The entrant must specify the underlying beer style as well as the type of fruit(s) used.  If the base beer is a classic style, the original style should come through in aroma and flavor. Judges should remember that many fruits dry out classic styles.Vital Statistics:   OG, FG, IBUs, SRM and ABV will vary depending on the underlying base beer."
33,"Northern German Pilsener","European Pale Lager","2B",1.044,1.05,4.4,5.2,25,45,2,4,"WARSTEINER, BITBURGER, VELTINS, BECK'S","More bitter, drier, less malty, simpler, cleaner and from a lower extract then Bohemian Pilsner. The distinctive characteristic is the flowery, medium hop bouquet and flavor from ""noble"" hops and its dry finish from a more thorough fermentation. The color should be light gold to medium gold. Crisp flavor with prominent high hop bitterness. A higher level of perceived bitterness is achieved through the use of water that is harder and higher in sulfates than that of Czechoslovakia. Low to medium maltiness in aroma and flavor, but the balance is decidedly towards bitterness throughout the palate. No fruitiness or esters. Very low diacetyl is OK. Light to medium in body. "
34,"Heavy 70","Scottish Ale","5B",1.034,1.04,3.2,3.9,10,25,10,19,"","Similar to English Ordinary Bitter, but reflecting the Scottish desire for maltier, fuller-bodied, less bitter ales. A faint smoky character from the use of small amounts of peat-smoked malt is sometimes present. The beers are often less fully fermented than by brewers elsewhere and the alcohol content can be low in relation to gravity.  "
35,"Helles Bock /Maibock","Bock","14B",1.064,1.072,6,7.5,20,35,4,10,"Ayinger Mai Bock, Pschorr Marzenbock, Wurzburger Maibock, Hacker-Pschorr Maibock, Einbecker Mai Ur-Bock, Augustiner Hellerbock, Fieders Bock Im Stein, Forschungs St. Jakobus Bock","These Bocks possess the same characteristics as traditional Bock except for the toasted chocolate character and they are lighter in color, gold to light amber. Medium to full bodied, it has predominantly malty taste. Hop bitterness is usually low and just balances the malt sweetness. Low ""noble-type"" hop flavor is OK. No hop aroma, fruitiness or esters and there should not be any diacetyl.  "
36,"India Pale Ale","India Pale Ale","7",1.05,1.075,5,7.8,40,60,8,14,"LIBERTY ALE, SIERRA NEVADA CELEBRATION ALE, SEADOG OLD EAST INDIA IPA","A decidedly hoppy, moderately strong pale ale. Originally brewed to survive the voyage from England to India, the temperature extremes and rolling of the seas resulted in a highly attenuated beer upon arrival.IPA is a medium gold to deep copper beer with prominent hop aroma and medium to high hop flavour and assertive bitterness.  Malt flavor should be low to medium, but should be sufficient to support the hop aspect. Despite the substantial hop character typical of these beers, sufficient malt flavor, body and complexity to support the hops will provide the best balance. Some diacetyl ok.  Some alcohol warming may be sensed in stronger versions. "
37,"Kolsch-style Ale","Koelsch & Altbier","8A",1.04,1.048,4,5,16,30,3.5,5,"PJ FRUH, MALZMUHLEN, PFAFFGEN, SION; BIERHAUS' GOLDEN","A pale-colored German ale and an appellation of the Koln area. Lightly fruity in the nose with a soft palate and a delicate dryness in the finish from German hops. Brewed at ale temperatures then cold-conditioned for several weeks. Light to medium gold. Light bodied.  "
38,"Lambic-style Ale","Lambic & Belgian Sour Ale","20A",1.044,1.056,4.7,5.8,10,15,4,15,"Boon Lambic, Cantillon Lambic, Girardin's Unblended Lambic","Uniquely sour ales from the Senne Valley of Belgium, spontaneously fermented with yeasts and bacteria. Unmalted wheat (30 to 40%) and aged hops are used.  Straight lambics have a fruity complexity and intense acidity. Blended aged lambics, called gueuze, tend to have a smoother palate. Some lambics are fruit-flavored - cherries (kriek), raspberries (framboise), and peaches (peche) - before bottling. A style called Faro is sweetened with candy sugar. Brewer should specify the substyle of lambic.  "
39,"Light 60/-","Scottish Ale","5A",1.03,1.034,2.5,3.3,9,15,12,34,"","Superficially similar to English mild, though somewhat more full-bodied. Still, a low-gravity, light-bodied ale with low carbonation and low bitterness. Medium to dark brown. A faint smoky character from the use of small amounts of peat-smoked malt is sometimes present. The beers are often less fully fermented than by brewers elsewhere and the alcohol content can be low in relation to gravity.  "
40,"Light/Standard/Premium","American Lager","1A",1.035,1.05,3.5,5.1,8,22,2,8,"Standard: Budweiser, Molson Golden, Kirin, Corona, Fosters; Premium: Michelob; Light: Bud Light, Miller Lite.","The standard American, Canadian, Japanese, Mexican, and Australian beer styles. Light grain and flowery hop aromas. May have slightly fruity aromas from yeast and hop varieties used. Pale straw to pale gold. Crisp and dry flavor, can have some sweetness. Very light body from use of a high % of adjuncts such as rice or corn. Delicate and dry. Usually well carbonated.  'Light' beers have 1/3 fewer calories than Standard; Premium beers tend to have fewer adjuncts or can be all-malt.  "
41,"Flanders Red Ale","Lambic & Belgian Sour Ale","20E",1.042,1.06,4,5.8,14,25,10,16,"Rodenbach and Rodenbach Grand Cru, Petrus, Bourgogne des Flandres, Vlaamse Bourgogne.","Aroma: Deep complexity of fruitiness and malt.  Sour or vinegary aroma may be present and there is often an oak aroma.  No hop aroma. Diacetyl aroma moderately-low to none.  Appearance: Deep red to reddish-brown in color.  Good clarity.  Average to good head retention.  Flavor: Malty, with fruity complexity and balanced toward complex sourness/acidity.  Hop flavor is low to none.  Hop bitterness is restrained.  Diacetyl low to none.  Mouthfeel: Medium body.  Some oak character is typical but not to the point of high astringency.  The astringency should be like that of wine, but no more than a well-aged red wine.  Overall Impression: A complex, sour, wine-like red ale.  History: Typified by the products of the Rodenbach brewery established in 1820 in West Flanders, but reflective of earlier brewing traditions.  Comments: Long aging and blending of young and well-aged beer may occur, adding to smoothness and complexity.  More wine-like than perhaps any other beer style.  Ingredients: A blend of Vienna and Munich malts are used as the base with smaller amounts of crystal malts also used.  A complex mix of ale yeast, Lactobacillus and acetobacters all contribute to the ferment and flavor.  "
