"Item","NAME","DESCR","STOCK","UNITS","COST","STAGE"
1,"Chocolate","Invariably adventurous brewers end up adding a chunk of bakers chocolate or scoop of cocoa powder to a brew.  Why not?  Note of caution: the cocoa butter (fat) in chocolate can kill the head on your beer - try skimming the wort before fermenting.",0,"oz",0.25,""
2,"Cinnamon","Papazian suggests 2 tsp ground, or 3-4 whole sticks of cinnamon per 5 gallon batch, for 10 minutes of boil.",0,"stick",0.25,""
3,"Citric acid","Sometimes used as an anti-oxidant (this use is suspect).  Can be used to reduce pH of mash water.",6,"tsp",0.15,""
4,"Coriander","Spice used traditionally in witbier and other exotic brews.  Use coriander seeds and crush fresh, add to last 10 minutes of the boil.",0,"oz",0.15,""
5,"Garlic","Papzian writes: ""Are you kidding me?  I wish I was.  You've got to really like garlic for this one.""",0,"oz",0.1,""
6,"Gelatin","Will help to clarify beer in the secondary.  Use 1-2 tsp in a cup of luke warm water per 5 gallon batch; stir to disolve.  Do not boil!  ",0,"tsp",0.15,"Secondary"
7,"Ginger","Use fresh ground ginger (vary .5 to 4 oz per 5 gallon batch).  I used dried ginger once and dumped the whole batch.  ",0,"oz",0.12,"Boil"
8,"Irish Moss","A form of seaweed added to the boil (10-20 minutes) to aid in clarification.  Helps to coagulate haze-causing  proteins as hot break.  Use at a rate of 1 tsp per 5 gallons.",0,"tsp",0.15,""
9,"Isinglass","Gelatinous substance derived from fish bladders (yum!) - helps to clarify beer before kegging.  Traditional in Britain.",0,"ml",0.17,""
10,"Lactic acid","Often available in solution 88%.  Use to reduce pH of mash.",0,"ml",0.18,""
11,"Licorice","In small amounts can add interesting flavours to darker beers.  Cut 1-2 pieces of root and add to last 10 minutes of boil.  Can be added to secondary for fresher flavour.  In excess may cause beer to taste a bit like root beer.",0,"stick",0.22,""
12,"Liquid Smoke","pà›öûÐ™",0,"ml",0.09,""
13,"Phosphoric acid","Strongest acid for reducing pH of mash.  Use only food-grade.",0,"ml",0.2,""
14,"Polyclar","Plastic in the form of a fine white powder. Add to secondary fermentor > 3 days before racking to aid in clarification.  Helps to flocculate yeast and chill haze.",0,"tsp",0.2,"Secondary"
15,"Spruce extract","Spruce beer was popular 200 years ago (it is mentioned in Jane Austin's Emma, for example).  Extract may be used at 2-5 tsp / 5 gallon batch.",0,"ml",0.2,"Boil"
16,"Spruce needles","Use new spring growth.  Papazian: ""A pint jar loosely filled with spruce twigs will provide adequate character to 5 gallons of brew.""",0,"oz",0,"Boil"
17,"Yeast energizer","Chemical aid to stimulate yeast that may have prematurely settled. ",0,"tsp",0.14,""
18,"Yeast nutrient","Often dead brewers yeast, although may contain other amonia-based nutrients.  Do not use in excess!  Most all-malt beers do not require yeast nutrients.  Follow manufacturer's suggestions for use.",0,"tsp",0.22,""
19,"Cinnamon, powdered","",,"tsp",0.23,""
20,"Juniper Berries","Juniper is a traditional ingredient in old style Finnish beers.",,"gr",0,""
21,"Cherry Puree","",,"oz",0.25,"Boil"
22,"Cherries, canned","",,"0z",5,"Primary"
23,"Gypsum","",,"",,""
24,"Rice Hulls","",,"lb",0.1,"Mash"
25,"Orange peel","",,"oz",0.25,"Boil"
26,"Calcium Carbonate","",,"",,""
27,"Calcium Chloride","",,"",,""
28,"Calcium Sulfate","",,"",,""
